Ciudad,Dia (AAAA/MM/DD),Hora,Previsión (°C),Velocidad (km/h),Rachas (km/h),Lluvias (mm),Nieve (cm),Nubes (%),Tormenta (%),Humedad (%),Presión (hPa),Sensación térmica (°C),Prob. precipitación (%),Hora observación,Visibilidad
a-coruna,2018/11/9,15:00,15 ,32 ,48 ,1.7 ,0 ,100,0,89,1010 ,13,90,NULL,NULL
a-coruna,2018/11/9,16:00,15 ,31 ,47 ,1.7 ,0 ,100,0,90,1009 ,13,90,NULL,NULL
a-coruna,2018/11/9,17:00,15 ,32 ,48 ,1.8 ,0 ,100,0,90,1008 ,15,90,NULL,NULL
a-coruna,2018/11/9,18:00,16 ,33 ,49 ,1.8 ,0 ,100,0,89,1008 ,14,90,NULL,NULL
a-coruna,2018/11/9,19:00,16 ,34 ,50 ,1.8 ,0 ,100,0,89,1007 ,14,90,NULL,NULL
a-coruna,2018/11/9,20:00,16 ,34 ,51 ,1.3 ,0 ,90,0,89,1006 ,16,90,NULL,NULL
a-coruna,2018/11/9,21:00,16 ,34 ,51 ,1.3 ,0 ,90,0,88,1006 ,16,90,NULL,NULL
a-coruna,2018/11/9,22:00,16 ,34 ,50 ,1.3 ,0 ,90,0,88,1005 ,16,90,NULL,NULL
a-coruna,2018/11/9,23:00,16 ,31 ,47 ,3.1 ,0 ,70,0,88,1005 ,14,80,NULL,NULL
a-coruna,2018/11/10,00:00,16 ,27 ,41 ,3.1 ,0 ,70,0,87,1006 ,14,80,NULL,NULL
a-coruna,2018/11/10,01:00,16 ,24 ,36 ,3.1 ,0 ,70,0,87,1006 ,14,80,NULL,NULL
a-coruna,2018/11/10,02:00,15 ,23 ,34 ,0.2 ,0 ,70,0,87,1006 ,15,40,NULL,NULL
a-coruna,2018/11/10,03:00,15 ,22 ,32 ,0.2 ,0 ,70,0,87,1006 ,13,40,NULL,NULL
a-coruna,2018/11/10,04:00,14 ,21 ,31 ,0.2 ,0 ,70,0,87,1006 ,14,40,NULL,NULL
a-coruna,2018/11/10,05:00,14 ,21 ,31 ,0.2 ,0 ,60,0,87,1006 ,12,40,NULL,NULL
a-coruna,2018/11/10,06:00,14 ,21 ,31 ,0.2 ,0 ,60,0,86,1006 ,12,40,NULL,NULL
a-coruna,2018/11/10,07:00,14 ,21 ,31 ,0.2 ,0 ,60,0,86,1007 ,12,40,NULL,NULL
a-coruna,2018/11/10,08:00,14 ,21 ,31 ,0.3 ,0 ,70,0,86,1007 ,12,70,NULL,NULL
a-coruna,2018/11/10,09:00,14 ,21 ,32 ,0.3 ,0 ,70,0,87,1007 ,12,70,NULL,NULL
a-coruna,2018/11/10,10:00,14 ,22 ,32 ,0.3 ,0 ,70,0,87,1007 ,14,70,NULL,NULL
a-coruna,2018/11/10,11:00,15 ,23 ,35 ,0.6 ,0 ,70,0,87,1007 ,13,90,NULL,NULL
a-coruna,2018/11/10,12:00,16 ,25 ,37 ,0.6 ,0 ,70,0,85,1007 ,14,90,NULL,NULL
a-coruna,2018/11/10,13:00,16 ,26 ,39 ,0.6 ,0 ,70,0,85,1007 ,16,90,NULL,NULL
a-coruna,2018/11/10,14:00,16 ,26 ,38 ,0.2 ,0 ,70,0,86,1007 ,14,60,NULL,NULL
a-coruna,2018/11/10,15:00,16 ,25 ,38 ,0.2 ,0 ,70,0,87,1007 ,14,60,NULL,NULL
a-coruna,2018/11/10,16:00,15 ,25 ,37 ,0.2 ,0 ,70,0,87,1006 ,15,60,NULL,NULL
a-coruna,2018/11/10,17:00,15 ,24 ,36 ,0.1 ,0 ,90,0,88,1006 ,15,60,NULL,NULL
a-coruna,2018/11/10,18:00,15 ,24 ,36 ,0.1 ,0 ,90,0,88,1006 ,15,60,NULL,NULL
a-coruna,2018/11/10,19:00,15 ,23 ,35 ,0.1 ,0 ,90,0,88,1007 ,15,60,NULL,NULL
a-coruna,2018/11/10,20:00,15 ,23 ,35 ,0.3 ,0 ,90,0,88,1007 ,15,80,NULL,NULL
a-coruna,2018/11/10,21:00,15 ,23 ,34 ,0.3 ,0 ,90,0,87,1007 ,15,80,NULL,NULL
a-coruna,2018/11/10,22:00,15 ,23 ,34 ,0.3 ,0 ,90,0,87,1007 ,15,80,NULL,NULL
a-coruna,2018/11/10,23:00,15 ,24 ,35 ,0.3 ,0 ,80,0,86,1007 ,13,70,NULL,NULL
a-coruna,2018/11/11,00:00,15 ,25 ,38 ,0.3 ,0 ,80,0,86,1007 ,13,70,NULL,NULL
a-coruna,2018/11/11,01:00,15 ,26 ,39 ,0.3 ,0 ,80,0,87,1007 ,13,70,NULL,NULL
a-coruna,2018/11/11,02:00,15 ,24 ,35 ,0 ,0 ,90,0,87,1007 ,13,30,NULL,NULL
a-coruna,2018/11/11,03:00,14 ,20 ,30 ,0 ,0 ,90,0,88,1007 ,14,30,NULL,NULL
a-coruna,2018/11/11,04:00,14 ,17 ,26 ,0 ,0 ,90,0,89,1007 ,14,30,NULL,NULL
a-coruna,2018/11/11,05:00,14 ,16 ,24 ,0.1 ,0 ,90,0,89,1007 ,14,60,NULL,NULL
a-coruna,2018/11/11,06:00,14 ,15 ,23 ,0.1 ,0 ,90,0,90,1007 ,14,60,NULL,NULL
a-coruna,2018/11/11,07:00,14 ,15 ,22 ,0.1 ,0 ,90,0,90,1007 ,14,60,NULL,NULL
a-coruna,2018/11/11,08:00,14 ,13 ,20 ,0.4 ,0 ,90,0,90,1007 ,14,80,NULL,NULL
a-coruna,2018/11/11,09:00,14 ,12 ,18 ,0.4 ,0 ,90,0,90,1007 ,14,80,NULL,NULL
a-coruna,2018/11/11,10:00,14 ,10 ,16 ,0.4 ,0 ,90,0,90,1008 ,14,80,NULL,NULL
a-coruna,2018/11/11,11:00,14 ,12 ,18 ,0.8 ,0 ,90,0,89,1008 ,14,90,NULL,NULL
a-coruna,2018/11/11,12:00,15 ,15 ,23 ,0.8 ,0 ,90,0,88,1008 ,15,90,NULL,NULL
albacete,2018/11/8,Ahora,11 ,1 ,2 ,--,--,--,--,94 ,1020 ,11,NULL,12:05,Ilimitada
albacete,2018/11/8,13:00,16 ,6 ,9 ,0 ,0 ,50,0,62,1017 ,16,20,NULL,NULL
albacete,2018/11/8,14:00,17 ,6 ,9 ,0 ,0 ,50,0,59,1016 ,17,20,NULL,NULL
albacete,2018/11/8,15:00,17 ,6 ,9 ,0 ,0 ,50,0,58,1015 ,17,20,NULL,NULL
albacete,2018/11/8,16:00,17 ,6 ,9 ,0 ,0 ,50,0,57,1014 ,17,20,NULL,NULL
albacete,2018/11/8,17:00,16 ,5 ,7 ,0.5 ,0 ,90,0,63,1014 ,16,80,NULL,NULL
albacete,2018/11/8,18:00,14 ,3 ,5 ,0.5 ,0 ,90,0,77,1014 ,14,80,NULL,NULL
albacete,2018/11/8,19:00,12 ,2 ,3 ,0.5 ,0 ,90,0,85,1015 ,12,80,NULL,NULL
albacete,2018/11/8,20:00,12 ,2 ,3 ,2.5 ,0 ,60,0,84,1015 ,12,80,NULL,NULL
albacete,2018/11/8,21:00,11 ,3 ,4 ,2.5 ,0 ,60,0,81,1015 ,11,80,NULL,NULL
albacete,2018/11/8,22:00,11 ,4 ,5 ,2.5 ,0 ,60,0,80,1016 ,11,80,NULL,NULL
albacete,2018/11/8,23:00,10 ,5 ,8 ,0.2 ,0 ,80,0,82,1016 ,10,60,NULL,NULL
albacete,2018/11/9,00:00,10 ,7 ,11 ,0.2 ,0 ,80,0,84,1016 ,10,60,NULL,NULL
albacete,2018/11/9,01:00,9 ,8 ,12 ,0.2 ,0 ,80,0,85,1016 ,9,60,NULL,NULL
albacete,2018/11/9,02:00,9 ,9 ,13 ,0.1 ,0 ,40,0,85,1016 ,7,40,NULL,NULL
albacete,2018/11/9,03:00,8 ,9 ,14 ,0.1 ,0 ,40,0,85,1017 ,6,40,NULL,NULL
albacete,2018/11/9,04:00,7 ,9 ,14 ,0.1 ,0 ,40,0,86,1017 ,5,40,NULL,NULL
albacete,2018/11/9,05:00,7 ,10 ,15 ,0 ,0 ,60,0,86,1018 ,5,20,NULL,NULL
albacete,2018/11/9,06:00,6 ,11 ,17 ,0 ,0 ,60,0,87,1018 ,4,20,NULL,NULL
albacete,2018/11/9,07:00,6 ,12 ,17 ,0 ,0 ,60,0,88,1019 ,4,20,NULL,NULL
albacete,2018/11/9,08:00,6 ,12 ,17 ,0.1 ,0 ,60,0,86,1020 ,3,40,NULL,NULL
albacete,2018/11/9,09:00,6 ,11 ,17 ,0.1 ,0 ,60,0,81,1020 ,3,40,NULL,NULL
albacete,2018/11/9,10:00,6 ,11 ,17 ,0.1 ,0 ,60,0,75,1021 ,4,40,NULL,NULL
albacete,2018/11/9,11:00,7 ,11 ,17 ,0 ,0 ,60,0,70,1021 ,5,20,NULL,NULL
albacete,2018/11/9,12:00,9 ,11 ,17 ,0 ,0 ,60,0,64,1021 ,7,20,NULL,NULL
albacete,2018/11/9,13:00,10 ,11 ,17 ,0 ,0 ,60,0,59,1020 ,8,20,NULL,NULL
albacete,2018/11/9,14:00,11 ,11 ,17 ,0 ,0 ,0,0,54,1020 ,9,NULL,NULL,NULL
albacete,2018/11/9,15:00,12 ,11 ,17 ,0 ,0 ,0,0,51,1019 ,10,NULL,NULL,NULL
albacete,2018/11/9,16:00,12 ,11 ,16 ,0 ,0 ,0,0,51,1019 ,12,NULL,NULL,NULL
albacete,2018/11/9,17:00,11 ,10 ,14 ,0 ,0 ,20,0,54,1019 ,11,NULL,NULL,NULL
albacete,2018/11/9,18:00,10 ,7 ,11 ,0 ,0 ,20,0,58,1020 ,10,NULL,NULL,NULL
albacete,2018/11/9,19:00,9 ,6 ,9 ,0 ,0 ,20,0,62,1020 ,9,NULL,NULL,NULL
albacete,2018/11/9,20:00,9 ,5 ,8 ,0 ,0 ,50,0,64,1021 ,9,20,NULL,NULL
albacete,2018/11/9,21:00,9 ,5 ,8 ,0 ,0 ,50,0,66,1022 ,9,20,NULL,NULL
albacete,2018/11/9,22:00,8 ,6 ,8 ,0 ,0 ,50,0,68,1022 ,8,20,NULL,NULL
albacete,2018/11/9,23:00,8 ,6 ,9 ,0 ,0 ,80,0,71,1022 ,8,20,NULL,NULL
albacete,2018/11/10,00:00,8 ,7 ,10 ,0 ,0 ,80,0,73,1021 ,8,20,NULL,NULL
albacete,2018/11/10,01:00,8 ,7 ,10 ,0 ,0 ,80,0,75,1021 ,8,20,NULL,NULL
albacete,2018/11/10,02:00,7 ,7 ,11 ,0 ,0 ,90,0,76,1020 ,7,30,NULL,NULL
albacete,2018/11/10,03:00,8 ,7 ,11 ,0 ,0 ,90,0,76,1020 ,6,30,NULL,NULL
albacete,2018/11/10,04:00,8 ,7 ,11 ,0 ,0 ,90,0,76,1019 ,8,30,NULL,NULL
albacete,2018/11/10,05:00,8 ,7 ,10 ,0 ,0 ,60,0,77,1019 ,8,20,NULL,NULL
albacete,2018/11/10,06:00,8 ,6 ,9 ,0 ,0 ,60,0,79,1019 ,8,20,NULL,NULL
albacete,2018/11/10,07:00,8 ,6 ,8 ,0 ,0 ,60,0,80,1019 ,8,20,NULL,NULL
albacete,2018/11/10,08:00,8 ,6 ,10 ,0 ,0 ,50,0,79,1019 ,8,10,NULL,NULL
albacete,2018/11/10,09:00,9 ,8 ,11 ,0 ,0 ,50,0,77,1019 ,9,10,NULL,NULL
albacete,2018/11/10,10:00,10 ,9 ,13 ,0 ,0 ,50,0,74,1019 ,10,10,NULL,NULL
albacete,2018/11/10,11:00,11 ,9 ,14 ,0 ,0 ,80,0,68,1018 ,11,20,NULL,NULL
albacete,2018/11/10,12:00,13 ,10 ,15 ,0 ,0 ,80,0,61,1018 ,13,20,NULL,NULL
albacete,2018/11/10,13:00,15 ,11 ,16 ,0 ,0 ,80,0,57,1017 ,15,20,NULL,NULL
albacete,2018/11/10,14:00,16 ,11 ,17 ,0 ,0 ,90,0,57,1017 ,16,30,NULL,NULL
albacete,2018/11/10,15:00,16 ,11 ,16 ,0 ,0 ,90,0,59,1016 ,16,30,NULL,NULL
albacete,2018/11/10,16:00,16 ,10 ,15 ,0 ,0 ,90,0,62,1016 ,16,30,NULL,NULL
albacete,2018/11/10,17:00,15 ,8 ,13 ,0 ,0 ,70,0,65,1016 ,15,20,NULL,NULL
albacete,2018/11/10,18:00,13 ,7 ,10 ,0 ,0 ,70,0,69,1016 ,13,20,NULL,NULL
albacete,2018/11/10,19:00,13 ,5 ,8 ,0 ,0 ,70,0,72,1016 ,13,20,NULL,NULL
albacete,2018/11/10,20:00,12 ,5 ,7 ,0 ,0 ,70,0,73,1017 ,12,20,NULL,NULL
albacete,2018/11/10,21:00,12 ,5 ,7 ,0 ,0 ,70,0,74,1017 ,12,20,NULL,NULL
albacete,2018/11/10,22:00,12 ,5 ,7 ,0 ,0 ,70,0,76,1017 ,12,20,NULL,NULL
albacete,2018/11/10,23:00,12 ,5 ,8 ,0 ,0 ,30,0,77,1017 ,12,10,NULL,NULL
albacete,2018/11/11,00:00,11 ,6 ,9 ,0 ,0 ,30,0,79,1017 ,11,10,NULL,NULL
albacete,2018/11/11,01:00,11 ,7 ,10 ,0 ,0 ,30,0,80,1017 ,11,10,NULL,NULL
albacete,2018/11/11,02:00,11 ,7 ,10 ,0 ,0 ,50,0,80,1017 ,11,20,NULL,NULL
albacete,2018/11/11,03:00,11 ,7 ,10 ,0 ,0 ,50,0,80,1016 ,11,20,NULL,NULL
albacete,2018/11/11,04:00,11 ,6 ,9 ,0 ,0 ,50,0,80,1016 ,11,20,NULL,NULL
albacete,2018/11/11,05:00,10 ,5 ,8 ,0 ,0 ,10,0,82,1016 ,10,NULL,NULL,NULL
albacete,2018/11/11,06:00,10 ,4 ,6 ,0 ,0 ,10,0,85,1016 ,10,NULL,NULL,NULL
albacete,2018/11/11,07:00,9 ,3 ,5 ,0 ,0 ,10,0,86,1017 ,9,NULL,NULL,NULL
albacete,2018/11/11,08:00,10 ,4 ,5 ,0 ,0 ,40,0,83,1017 ,10,10,NULL,NULL
albacete,2018/11/11,09:00,10 ,4 ,6 ,0 ,0 ,40,0,78,1018 ,10,10,NULL,NULL
albacete,2018/11/11,10:00,12 ,4 ,6 ,0 ,0 ,40,0,73,1018 ,12,10,NULL,NULL
albacete,2018/11/11,11:00,13 ,4 ,7 ,0 ,0 ,30,0,68,1017 ,13,10,NULL,NULL
alicante,2018/11/8,Ahora,19 ,8 ,12 ,--,--,--,--,73 ,1019 ,23,NULL,12:25,Ilimitada
alicante,2018/11/8,13:00,20 ,10 ,15 ,0 ,0 ,50,0,71,1018 ,19,20,NULL,NULL
alicante,2018/11/8,14:00,19 ,10 ,16 ,0 ,0 ,40,0,71,1017 ,19,10,NULL,NULL
alicante,2018/11/8,15:00,19 ,10 ,15 ,0 ,0 ,40,0,72,1016 ,19,10,NULL,NULL
alicante,2018/11/8,16:00,18 ,10 ,15 ,0 ,0 ,40,0,74,1015 ,18,10,NULL,NULL
alicante,2018/11/8,17:00,18 ,8 ,12 ,0 ,0 ,70,0,77,1015 ,18,20,NULL,NULL
alicante,2018/11/8,18:00,17 ,7 ,10 ,0 ,0 ,70,0,82,1015 ,17,20,NULL,NULL
alicante,2018/11/8,19:00,16 ,6 ,9 ,0 ,0 ,70,0,86,1015 ,16,20,NULL,NULL
alicante,2018/11/8,20:00,16 ,6 ,9 ,0.2 ,0 ,50,0,88,1015 ,16,40,NULL,NULL
alicante,2018/11/8,21:00,15 ,6 ,9 ,0.2 ,0 ,50,0,89,1015 ,15,40,NULL,NULL
alicante,2018/11/8,22:00,14 ,6 ,9 ,0.2 ,0 ,50,0,89,1016 ,14,40,NULL,NULL
alicante,2018/11/8,23:00,14 ,6 ,8 ,0.3 ,0 ,50,0,88,1015 ,14,40,NULL,NULL
alicante,2018/11/9,00:00,14 ,5 ,8 ,0.3 ,0 ,50,0,86,1015 ,14,40,NULL,NULL
alicante,2018/11/9,01:00,14 ,5 ,8 ,0.3 ,0 ,50,0,83,1014 ,14,40,NULL,NULL
alicante,2018/11/9,02:00,13 ,6 ,9 ,0 ,0 ,60,0,79,1014 ,13,20,NULL,NULL
alicante,2018/11/9,03:00,13 ,7 ,10 ,0 ,0 ,60,0,74,1014 ,13,20,NULL,NULL
alicante,2018/11/9,04:00,13 ,7 ,11 ,0 ,0 ,60,0,70,1014 ,13,20,NULL,NULL
alicante,2018/11/9,05:00,13 ,8 ,12 ,0 ,0 ,10,0,69,1014 ,13,NULL,NULL,NULL
alicante,2018/11/9,06:00,12 ,9 ,14 ,0 ,0 ,10,0,68,1015 ,12,NULL,NULL,NULL
alicante,2018/11/9,07:00,12 ,10 ,15 ,0 ,0 ,10,0,66,1016 ,12,NULL,NULL,NULL
alicante,2018/11/9,08:00,12 ,11 ,17 ,0 ,0 ,0,0,64,1016 ,12,NULL,NULL,NULL
alicante,2018/11/9,09:00,13 ,13 ,19 ,0 ,0 ,0,0,62,1017 ,13,NULL,NULL,NULL
alicante,2018/11/9,10:00,14 ,14 ,21 ,0 ,0 ,0,0,59,1017 ,14,NULL,NULL,NULL
alicante,2018/11/9,11:00,15 ,15 ,23 ,0 ,0 ,0,0,55,1017 ,15,NULL,NULL,NULL
alicante,2018/11/9,12:00,17 ,16 ,24 ,0 ,0 ,0,0,50,1017 ,17,NULL,NULL,NULL
alicante,2018/11/9,13:00,18 ,17 ,25 ,0 ,0 ,0,0,46,1017 ,18,NULL,NULL,NULL
alicante,2018/11/9,14:00,18 ,17 ,25 ,0 ,0 ,0,0,42,1017 ,18,NULL,NULL,NULL
alicante,2018/11/9,15:00,19 ,16 ,24 ,0 ,0 ,0,0,40,1017 ,19,NULL,NULL,NULL
alicante,2018/11/9,16:00,18 ,15 ,23 ,0 ,0 ,0,0,40,1017 ,18,NULL,NULL,NULL
alicante,2018/11/9,17:00,17 ,13 ,20 ,0 ,0 ,0,0,44,1017 ,17,NULL,NULL,NULL
alicante,2018/11/9,18:00,15 ,11 ,16 ,0 ,0 ,0,0,49,1017 ,15,NULL,NULL,NULL
alicante,2018/11/9,19:00,13 ,9 ,14 ,0 ,0 ,0,0,52,1018 ,13,NULL,NULL,NULL
alicante,2018/11/9,20:00,12 ,9 ,13 ,0 ,0 ,70,0,54,1018 ,12,20,NULL,NULL
alicante,2018/11/9,21:00,12 ,8 ,13 ,0 ,0 ,70,0,56,1019 ,12,20,NULL,NULL
alicante,2018/11/9,22:00,11 ,8 ,12 ,0 ,0 ,70,0,57,1019 ,11,20,NULL,NULL
alicante,2018/11/9,23:00,11 ,8 ,12 ,0 ,0 ,100,0,59,1019 ,11,30,NULL,NULL
alicante,2018/11/10,00:00,11 ,8 ,11 ,0 ,0 ,100,0,60,1018 ,11,30,NULL,NULL
alicante,2018/11/10,01:00,11 ,7 ,11 ,0 ,0 ,100,0,62,1018 ,11,30,NULL,NULL
alicante,2018/11/10,02:00,11 ,7 ,10 ,0 ,0 ,100,0,63,1017 ,11,30,NULL,NULL
alicante,2018/11/10,03:00,12 ,7 ,10 ,0 ,0 ,100,0,64,1017 ,12,30,NULL,NULL
alicante,2018/11/10,04:00,12 ,6 ,9 ,0 ,0 ,100,0,65,1016 ,12,30,NULL,NULL
alicante,2018/11/10,05:00,12 ,6 ,9 ,0 ,0 ,60,0,65,1016 ,12,20,NULL,NULL
alicante,2018/11/10,06:00,11 ,6 ,9 ,0 ,0 ,60,0,65,1016 ,11,20,NULL,NULL
alicante,2018/11/10,07:00,11 ,6 ,9 ,0 ,0 ,60,0,65,1016 ,11,20,NULL,NULL
alicante,2018/11/10,08:00,12 ,6 ,10 ,0 ,0 ,20,0,64,1016 ,12,NULL,NULL,NULL
alicante,2018/11/10,09:00,14 ,7 ,10 ,0 ,0 ,20,0,62,1017 ,14,NULL,NULL,NULL
alicante,2018/11/10,10:00,16 ,8 ,11 ,0 ,0 ,20,0,60,1018 ,16,NULL,NULL,NULL
alicante,2018/11/10,11:00,18 ,9 ,13 ,0 ,0 ,30,0,57,1017 ,18,10,NULL,NULL
alicante,2018/11/10,12:00,19 ,11 ,17 ,0 ,0 ,30,0,53,1017 ,19,10,NULL,NULL
alicante,2018/11/10,13:00,21 ,12 ,19 ,0 ,0 ,30,0,49,1016 ,21,10,NULL,NULL
alicante,2018/11/10,14:00,22 ,13 ,19 ,0 ,0 ,70,0,46,1016 ,22,20,NULL,NULL
alicante,2018/11/10,15:00,22 ,12 ,19 ,0 ,0 ,70,0,44,1015 ,22,20,NULL,NULL
alicante,2018/11/10,16:00,21 ,12 ,17 ,0 ,0 ,70,0,45,1015 ,21,20,NULL,NULL
alicante,2018/11/10,17:00,20 ,10 ,15 ,0 ,0 ,90,0,51,1015 ,19,30,NULL,NULL
alicante,2018/11/10,18:00,18 ,8 ,12 ,0 ,0 ,90,0,60,1015 ,18,30,NULL,NULL
alicante,2018/11/10,19:00,16 ,7 ,10 ,0 ,0 ,90,0,68,1015 ,16,30,NULL,NULL
alicante,2018/11/10,20:00,15 ,6 ,10 ,0 ,0 ,100,0,73,1016 ,15,30,NULL,NULL
alicante,2018/11/10,21:00,14 ,6 ,9 ,0 ,0 ,100,0,77,1016 ,14,30,NULL,NULL
alicante,2018/11/10,22:00,13 ,6 ,9 ,0 ,0 ,100,0,79,1017 ,13,30,NULL,NULL
alicante,2018/11/10,23:00,13 ,5 ,8 ,0 ,0 ,30,0,77,1017 ,13,NULL,NULL,NULL
alicante,2018/11/11,00:00,13 ,5 ,8 ,0 ,0 ,30,0,74,1016 ,13,NULL,NULL,NULL
alicante,2018/11/11,01:00,13 ,5 ,7 ,0 ,0 ,30,0,73,1016 ,13,NULL,NULL,NULL
alicante,2018/11/11,02:00,14 ,5 ,7 ,0 ,0 ,0,0,74,1016 ,14,NULL,NULL,NULL
alicante,2018/11/11,03:00,14 ,5 ,7 ,0 ,0 ,0,0,75,1016 ,14,NULL,NULL,NULL
alicante,2018/11/11,04:00,14 ,5 ,7 ,0 ,0 ,0,0,76,1016 ,14,NULL,NULL,NULL
alicante,2018/11/11,05:00,13 ,5 ,7 ,0 ,0 ,0,0,77,1016 ,13,NULL,NULL,NULL
alicante,2018/11/11,06:00,12 ,5 ,7 ,0 ,0 ,0,0,78,1016 ,12,NULL,NULL,NULL
alicante,2018/11/11,07:00,12 ,4 ,7 ,0 ,0 ,0,0,78,1016 ,12,NULL,NULL,NULL
alicante,2018/11/11,08:00,14 ,4 ,7 ,0 ,0 ,0,0,76,1017 ,14,NULL,NULL,NULL
alicante,2018/11/11,09:00,16 ,4 ,6 ,0 ,0 ,0,0,71,1017 ,16,NULL,NULL,NULL
alicante,2018/11/11,10:00,18 ,4 ,6 ,0 ,0 ,0,0,67,1017 ,18,NULL,NULL,NULL
alicante,2018/11/11,11:00,20 ,5 ,8 ,0 ,0 ,0,0,63,1017 ,20,NULL,NULL,NULL
almeria,2018/11/8,Ahora,18 ,7 ,11 ,--,--,--,--,77 ,1019 ,22,NULL,12:25,Ilimitada
almeria,2018/11/8,13:00,18 ,9 ,13 ,0 ,0 ,10,0,74,1018 ,18,NULL,NULL,NULL
almeria,2018/11/8,14:00,18 ,10 ,16 ,0 ,0 ,10,0,78,1017 ,18,NULL,NULL,NULL
almeria,2018/11/8,15:00,18 ,12 ,18 ,0 ,0 ,10,0,83,1016 ,18,NULL,NULL,NULL
almeria,2018/11/8,16:00,17 ,13 ,20 ,0 ,0 ,10,0,87,1016 ,17,NULL,NULL,NULL
almeria,2018/11/8,17:00,17 ,15 ,23 ,0 ,0 ,30,0,89,1016 ,17,NULL,NULL,NULL
almeria,2018/11/8,18:00,16 ,18 ,27 ,0 ,0 ,30,0,90,1016 ,16,NULL,NULL,NULL
almeria,2018/11/8,19:00,16 ,19 ,29 ,0 ,0 ,30,0,90,1016 ,14,NULL,NULL,NULL
almeria,2018/11/8,20:00,15 ,20 ,30 ,0 ,0 ,30,0,90,1016 ,15,10,NULL,NULL
almeria,2018/11/8,21:00,15 ,20 ,30 ,0 ,0 ,30,0,89,1017 ,15,10,NULL,NULL
almeria,2018/11/8,22:00,15 ,19 ,29 ,0 ,0 ,30,0,89,1017 ,13,10,NULL,NULL
almeria,2018/11/8,23:00,15 ,19 ,29 ,0 ,0 ,20,0,88,1017 ,13,NULL,NULL,NULL
